Variable,Time,Shock,Median,Lower,Upper
log(PY),23,OilPrice,-0.0001163249596224,-0.0048752018691349,0.0007304558840899
log(PY),24,ForeignDemand,-0.0001088983039862,-0.0131993686095253,0.0025549646765922
log(PY),24,GovSpending,0.0005428728362975,-0.0016636624653272,0.0196400770986612
log(PY),24,IntRate,0.0002514348846656,-0.0069639772070379,0.0222102522846485
log(PY),24,OilPrice,-8.73819476338989e-05,-0.0048683720450714,0.0006002398361797
log(W_rel),0,ForeignDemand,0.0552684013703484,-0.0207325099777488,0.1275500268403183
log(W_rel),0,IntRate,-0.1562099876761598,-0.4728624167943887,0.0335934865839188
log(W_rel),0,OilPrice,0.0125053701696915,0.0019190690556459,0.0232492218833138
log(W_rel),1,ForeignDemand,0.1466053174898477,0.0210681254030332,0.2749028933680153
log(W_rel),1,IntRate,-0.0747533942934989,-0.3747648916989317,0.1268324289307535
log(W_rel),1,OilPrice,0.0268605332078673,0.0067639825468197,0.0432743551205401
log(W_rel),2,ForeignDemand,0.1460004304510232,0.0265222529068973,0.2938945340342881
log(W_rel),2,IntRate,-0.0721257415065943,-0.3367054272037899,0.1261364543973447
log(W_rel),2,OilPrice,0.0212381827929523,-0.0036368109365675,0.0420437238231902
log(W_rel),3,ForeignDemand,0.1001838306787417,-0.0038144359148799,0.235661418215145
log(W_rel),3,IntRate,-0.0601219223028655,-0.3089765263669263,0.122709213553215
log(W_rel),3,OilPrice,0.0100659021239582,-0.0152932620832447,0.0323995959417127
log(W_rel),4,ForeignDemand,0.0551007085111146,-0.0335068171950528,0.1675475716285387
log(W_rel),4,IntRate,-0.0388523019001479,-0.2788683758423143,0.1394434674009708
log(W_rel),4,OilPrice,0.0013231730379811,-0.0194689807141437,0.0219748081432795
log(W_rel),5,ForeignDemand,0.0233770024616294,-0.0471788813815162,0.1102315191423795
log(W_rel),5,IntRate,-0.0253235442371126,-0.2458658517505896,0.1299872754269484
log(W_rel),5,OilPrice,-0.003130879383369,-0.020135468064082,0.0144355562795961
log(W_rel),6,ForeignDemand,0.007332184545501,-0.0541556336609857,0.0738319662794839
log(W_rel),6,IntRate,-0.0049367126956692,-0.1872766097768661,0.1188290373758801
log(W_rel),6,OilPrice,-0.0039825575517575,-0.022220505040327,0.0092263412219039
log(W_rel),7,ForeignDemand,0.0022446619502646,-0.0526310966690851,0.0531064851719128
log(W_rel),7,IntRate,0.0063058753636096,-0.1344553831163254,0.1161606998615866
log(W_rel),7,OilPrice,-0.0050007375364269,-0.0210634900247577,0.006864715336398
log(W_rel),8,ForeignDemand,0.0009640976991442,-0.0512504945106805,0.0416827933325936
log(W_rel),8,IntRate,0.0099661653996076,-0.1007862925530814,0.1018932997637201
log(W_rel),8,OilPrice,-0.0047223754034066,-0.0196700357453207,0.0056801699439465
log(W_rel),9,ForeignDemand,-0.0004169459610496,-0.0485430006410671,0.033215003202718
log(W_rel),9,IntRate,0.0080363753523924,-0.0904900893128463,0.0950011495004896
log(W_rel),9,OilPrice,-0.0037073211400891,-0.019324934088488,0.0053038141745989
log(W_rel),10,ForeignDemand,-0.0009479851832571,-0.043373236176934,0.0282585425269314
log(W_rel),10,IntRate,0.0051935664656077,-0.078427112123589,0.0884067382718313
log(W_rel),10,OilPrice,-0.0029516770327201,-0.0169244240365088,0.0047197835293212
log(W_rel),11,ForeignDemand,-0.0009994873217505,-0.0385626622725189,0.0238835274970759
log(W_rel),11,IntRate,0.004531323552217,-0.0678578461261013,0.080253947634926
log(W_rel),11,OilPrice,-0.0021417108791004,-0.0153731575255998,0.0043272454414674
log(W_rel),12,ForeignDemand,-0.0007192615952804,-0.0345082656332042,0.0203146640150578
log(W_rel),12,IntRate,0.0021435160724678,-0.0600048062496951,0.06556207533874
log(W_rel),12,OilPrice,-0.0016657445823677,-0.0139819487942181,0.0038788355631156
log(W_rel),13,ForeignDemand,-0.0006825643737661,-0.0310581913400301,0.0181310343287288
log(W_rel),13,IntRate,0.000560107553624,-0.0492072524318624,0.0584044026052332
